Contribution Evaluation,"PREPARATION PHASE
To understand the work that different people in ALANA go through we require template workflows. The following examples attempt to unravel the mysteries.",,,"ESTIMATION PHASE
Before initiating any work, we evaluate the scope, requirements, and expected outcomes. This evaluation includes scoring the project based on its reach, impact, and the effort required.",,,,"EXECUTION PHASE
This phase involves carrying out the tasks necessary for project completion. It requires effective coordination among team members to meet the set objectives.",,"FINAL RESULT
","REVIEW PHASE
Upon completing the work, we measure audience impact and distribute a bonus upon how the project impacts the real world/ audience reception.",,
ALANAmagazine Fact-Checking & Content Editing,ALANAmagazine,"What does it take to fact-check and edit content for ALANAmagazine?
- Ensure the article arrives with sources provided, if not, check back with the original author
- Confirm the sources are correct and reliable/ accurate
- Read the article and check for any claims made; if anything is unclear confirm with the original author
- Provide feedback to the original author and ask for changes if applicable 
- Read the article thoroughly to understand its content, structure, and intent
- Ensure the writing is clear and consistent in tone, style, and terminology
- Assess the organization of the article, ensuring it has a logical flow with a strong introduction, body, and conclusion
- Remove any redundant or irrelevant information that does not contribute to the main message
- Ensure visuals fit the aesthetic and quality standard of the magazine and enhance the article they are paired with
- Check for grammatical errors, typos, and punctuation mistakes using tools and manual proofreading
- Offer constructive feedback to the writer, highlighting strengths and areas for improvement
- Implement all necessary changes and prepare the article for publication, ensuring it meets the magazine’s standards
- Hand the article over to the layouter of the magazine","What tools are required?
- PDF Reader and annotation tool
- Google Docs or similar","1,453",0.25,2,70.00%,80.00%,732,732,,,
ALANAmagazine Layout Design,ALANAmagazine,"What does it take to layout ALANAmagazine?
- Ensure the overall design is in complete alignment with The ALANA Project branding
- Ensure the layouter has advanced knowledge on utilizing Adobe InDesign for layouting the magazine
- Develop a style guide that includes fonts, colors, and design elements to ensure consistency throughout the magazine
- Design a grid system to organize content effectively, balancing text and images for optimal readability
- Use headings, subheadings, and varying font sizes to guide readers through the content and highlight important information
- Ensure body text is legible by choosing appropriate font sizes, line spacing, and paragraph breaks
- Strategically use white space to enhance the layout, making it visually appealing and easier to navigate
- Select high-quality images and graphics that complement the text and enhance the overall aesthetic (if the quality standard is off, utilize AI enhancer tools to adapt)
- Adjust layouts for print and digital versions, considering factors like interactivity for digital formats and bleed for print.
- Ensure all files are set to the correct dimensions, resolution (300 dpi), and color mode (CMYK) for printing.
- Hand over a draft file for proofreading, ensuring all elements are aligned and visually cohesive.
- Export the final layout in appropriate formats (PDF for print, interactive formats for digital) and distribute as needed.","What tools are required?
- InDesign
- PDF Reader
- Photoshop
- AI Enhancer","1,453",0.25,2.75,85.00%,85.00%,"1,260","16,377",,,
"ALANAmagazine Proof Reading 

* incentivized per round",ALANAmagazine,"What does it take to proofread ALANAmagazine?
FYI, the person responsible for the original article should not be proofreading it!
3 to 5 people are required to do this.

- 124 pages of patience and eagle-eyed attention","What tools are required?
- PDF Reader and annotation tool","1,453",0.25,1.5,50.00%,65.00%,331,"4,297",,,
"ALANAmagazine Media Kit Creation
",ALANAmagazine,"What does it take to design the Media Kit for ALANAmagazine?
- Determine the goals of the media kit, such as attracting advertisers, informing media contacts, or promoting brand partnerships
- Compile key details about the magazine, including its mission, audience demographics, and unique selling points
- Clearly describe the magazine's content types, distribution channels, and advertising options available
- Provide and compile statistics on readership, social media following, and engagement metrics to demonstrate the magazine's reach
- Incorporate high-quality images and design elements that reflect the magazine's branding and aesthetic
- Include brief bios and photos of key team members, such as editors and contributors, to personalize the kit
- Use a professional design tool or template to create an attractive and easy-to-navigate layout
- Proofread the content for accuracy and clarity, ensuring all information is up-to-date and relevant
- Share the media kit digitally (PDF or online link) with team members who will be responsible for sponsor acquisitions and partnerships","What tools are required?
- Photoshop or similar
- Figma, InDesign or similar
- PDF Creator
- AI enhancer/ AI creation Tools","1,453",0.25,2,50.00%,75.00%,490,,,,
"ALANAmagazine Partnership/ Sponsor Acquisition & Management

* one-off
* 10% of the sponsorship money goes to the responsible contributor",ALANAmagazine,"What does it take to reach out to reach out to potential sponsors and partners for ALANAmagazine?
- Research and select companies or brands that align with your magazine’s values and audience
- Utilize the Media Kit to demonstrate the value of your magazine to potential sponsors
- Write a clear and concise email or letter that outlines the sponsorship opportunity, including what you are asking for and what you can offer in return
- Emphasize how the partnership can benefit the sponsor, such as increased brand exposure and access to your audience.
- If you don’t receive a response, send a polite follow-up email to remind them of your proposal and express your interest in discussing it further
- Be prepared to discuss different sponsorship levels and tailor your offerings to meet the sponsor's needs
- Keep in touch with potential sponsors, providing updates on your magazine and any relevant opportunities for collaboration
- After securing sponsorships, track the performance of the partnership and report back to sponsors on the outcomes, reinforcing the value of their investment","What tools are required?
- Video Call Software
- Social media accounts for outreach
- Google Docs (Sponsor Sheet)","1,453",2,0.5,35.00%,65.00%,331,331,,,
"Managing Community Competitions

* Example calculation based on the ALANAmagazine community competitions (cover)
* community contest",ALANAmagazine,"What does it take to manage and organize a community competition?
- Define general competition parameters, such as the theme or subject, image specifications and potential restrictions
- Establish timeline, start, end, judging period, announcements
- Create competition rules, including judging criteria and 
- (Forming of the judging panel)
- Develop the submission platform and provide details to the developer (run tests, check for user-friendliness)
- Create marketing materials in collaboration with Identity Engineers
- Manage submissions, organize qualifying submissions and make them easily accessible for judges/ team and send confirmation mails to participants
- (Manage judges and their evaluations)
- Notify winners, announce results on social media and prepare information for the ALANAmagazine edition
- (Thank judges)","What tools are required?
- Figma
- Milanote","1,453",0.5,2.75,50.00%,75.00%,708,708,,,
"ALANAmagazine Graphic Design

* editing and enhancing of existing images, creation of new graphics and images for articles",ALANAmagazine,"What does it take to do graphic design/ retouching work for ALANAmagazine?
- create graphics from scratch 
- retouch existing or submitted imagery to make it fit the layout","What tools are required?
- Photoshop or similar
- Illustrator or similar
- AI enhancer/ AI creation","1,453",0.25,1.75,30.00%,75.00%,262,"3,400",,,
"ALANAmagazine AR Filter Creation
(difficulty - challenging)",ALANAmagazine,"What does it take to create an AR Filter for ALANAmagazine?
- Concept & References
- Basic Shape Creation
- Refining the Shape
- Combining Elements
- Adding Details
- Retopology or Topology baking
- Texturing
- potentially weight painting/ rigging","What tools are required?
- Blender, Cinema 4D, Zbrush, etc.
- Substance Designer/ Painter or Quixel","1,453",0.5,2,65.00%,70.00%,"1,157","1,157",0,,
"Create ALANAmagazine Product Trailer

*Example calculation based on the ALANAmagazine Trailer",ALANAmagazine,"What does it take to put together a high-end product trailer for ALANA?
- Communicate with the ALANAmagazine team and the Brand Identity team about the visuals that can and should be utilized according to the going theme.
- Gather the finalized graphics for the cover, side, and back from the Brand Identity/ ALANAmagazine layouter directly.
- Blockout and build the entire scene in Blender.
- Define lighting, apply textures, and buy additional assets if necessary.
- Create pre-renders and discuss them with the Brand Identity and ALANAmagazine (in that order). Adjust if necessary.
- Finalize at least five camera angles and motions as well as different angles for stills and render.
- Start the communication with the video editor and produce the first draft in at least two ratios (Reels & YouTube).
- After the first draft communicate with the Brand Identity and ALANAmagazine team. Adjust if necessary.
- Finalize renders and send them off to the two teams.","What tools are required?
- Blender
- Texturing
- Asset Library
- Sounds
- Video Editing","1,453",2.5,3,60.00%,85.00%,"2,853","2,853",0,"2,853",
"ALANAmagazine Production Management

* Pre-production of the physical magazine",ALANAmagazine,"What does it take to pre-produce the physical magazine?
- Create and manage the production schedule, working backwards from the distribution date
- Develop a detailed flatplan or page-plan for the issue
- Coordinate with editorial and advertising teams to gather all content and assets
- Prepare files for printing, including color profiles and resolution checks
- Research different production facilities, compare prices and qualities
- Liaise with the printing facility to ensure proper specifications and quality
- Conduct press checks to verify print quality at the beginning of the press run
- Coordinate with distribution/ storage services for packaging and delivery of the printed magazines","What tools are required?
- Google Sheets or similar
- InDesign","1,453",0.25,2,35.00%,75.00%,601,601,,,
"ALANAmagazine Sales Management B2B

* selling in bulk to stores for example
* 10% of the sponsorship money goes to the responsible contributor",ALANAmagazine,"What does it take to reach out to potential B2B Clients for ALANAmagazine?
- Identify potential B2B clients: bookstores, libraries, and specialty retailers.
- Create a targeted pitch highlighting ALANAmagazine's unique value proposition. The ALANAmagazine Media Kit can be used as a resource here.
- Develop bulk pricing and distribution options.
- Build a database of decision-makers at potential B2B clients.
- Craft concise email templates for initial contact. Nonetheless, a multi-channel approach is recommended.
- Send personalized introductory emails to potential B2B clients. Follow up by phone to discuss bulk purchasing opportunities.
- When possible, arrange meetings or store visits to showcase ALANAmagazine.
- Negotiate bulk order agreements and payment terms. 
- Create a distribution plan, including delivery schedules.
- Implement a system for tracking orders and managing inventory. 
- Provide regular updates on new issues and special editions. 
- Offer promotional materials to help B2B clients market ALANAmagazine.
- Gather feedback to improve the magazine and distribution process.","What tools are required?
- Video Call Software
- Social media accounts for outreach
- Google Docs (Sponsor Sheet)
- Inventory software
- Access to promotional resources","1,453",2,0.5,35.00%,65.00%,331,331,,,
"ALANAmagazine Distribution Management

* Distribution of the physical magazine",ALANAmagazine,"What does it take to manage the distribution of the physical magazine?
- Implement a system for tracking orders and managing inventory.
- Check automated emails from the website form
- Print labels
- Ask for collection by the shipping service","What tools are required?
- Google Sheets or similar
- Delivery Service Access (UPS, DHL, etc.)
- Access to the Multi-sig Wallet
- Access to Unlock Lock
- Access to Stripe Service
- Labeling Tool & Software","1,453",0.25,3,15.00%,65.00%,184,"2,394",,,Values for one Season of ALANAmagazine
"ALANAboutique Seasonal Content Curation

* Example calculation based on the overall exhibition planning of the virtual ALANAboutique space",ALANAboutique,"What does it take to curate a season for ALANAboutique? 
- Define the season's theme and overall narrative and ensure alignment with ALANA's audience.
- Develop a curatorial statement outlining the vision.
- Create a timeline for the season, including individual exhibition dates if needed.
- Research and identify artists/ brands whose work aligns with the season's theme.
- Review and select specific artworks for each exhibition to generate some mock up graphics (2D)
- Craft all of the above in a streamlined proposal for an ALANAboutique season.","What tools are required?
- Access to Milanote","1,453",0.25,2.5,95.00%,85.00%,"1,291","1,291",,,
"ALANAboutique Individual Exhibition Curation

* Example calculation based on curating an educational space in ALANAboutique. When planning multiple spaces, the ""average multiplier"" wouldn't take effect as every space is unique.",ALANAboutique,"What does it take to curate an individual exhibition space for ALANAboutique?
(ALANAboutique consists of individual exhibition spaces. Some are unique and require more dedicated development such as educational spaces. We recommend setting a battery life bar value of 55%. For shopping spaces we recommend setting a lower value for about 35%.)
Brainstorm ideas for relevant educational topics for the ALANA community. If needed, seek help from the Brand Identity & Socials team regarding a defined target audience.
- Conduct in-depth research on the selected educational topic and bring in people from the community who might have more knowledge on the specific topic.
- Select representative artworks and additional materials to showcase. Ask the Infrastructure & Strategy team for a legal document to obtain the original authors' permission to do so. 
- Write informative, engaging yet short descriptions for all exhibited pieces.
- Forward the high-quality exhibition pieces and their descriptions to the ALANAboutique virtual space design team.
- Provide the design team with a layout of the exhibition space within the larger virtual environment according to the existing blueprint.
- Plan interactive elements to engage visitors (e.g., zoom features, 360-degree views and similar). Provide the information as well to the ALANAboutique design team.
- For the final publication, please write a short press release about that specific place containing a summarized version and ensure all contributors are named and linked in the document.","What tools are required?
- Access to Milanote","1,453",0.25,2.5,55.00%,70.00%,615,615,,,
"Virtual Space Design

* Example calculation based on ALANAboutique",ALANAboutique,"What does it take to create a virtual space for ALANA?
- Develop the overarching story of the space to fit into the larger narrative of ALANA. 
- Create a layout plan for the virtual space that aligns with the ALANA brand design.
- Define the user journey and interaction points and set apart individual exhibition spaces so that switching out parts of the exhibition will be consistently feasible.
- Research the platform to which the space gets implemented so the framework is clear and well understood.
- Design and model the larger 3D environment by factoring in the existing branded design elements. 
- Develop unique textures that fit ALANA's brand identity and apply them. 
- Create 3D models and assets to outfit the space partially and section off individual exhibition spaces.
- Optimize the space and individual models for web deployment and implement level-of-detail (LOD) as well as texture compression.
- Create final renderings of the seasonal exhibition and from each (empty) individual space for marketing purposes!","What tools are required?
- Access to Milanote
- Access to Blender, Substance Painter and similar","1,453",3,2.8,100.00%,98.00%,"3,304","3,304",0,,
"Virtual Sub-Space Design

* Example calculation based on ALANAboutique sub-spaces",ALANAboutique,"What does it take to create a virtual sub-space for ALANA?
- According to the Individual Exhibition Curation, a dedicated space in 3D should be developed.
- Create a layout plan for the virtual sub-space that aligns with the given theme.
- Define the user flow and interaction points.
- Design the 3D space based on the existing blueprint for the virtual space sections. 
- Develop unique textures and 3D assets that fit the sub-space theme and apply them. 
- Optimize the space and individual models for web deployment and implement level-of-detail (LOD) and texture compression.","What tools are required?
- Access to Milanote
- Access to Blender, Substance Painter and similar","1,453",1,3,60.00%,90.00%,"1,255","1,255",,,
"Virtual Space Maintenance, Adaptions & Interactivity

",ALANAboutique,"What does it take to keep the existing ALANAboutique accessible and in excellent condition?
- Perform regular maintenance and updates, including bug fixes, security patches, content updates, and minor enhancements.
- Deploy the updated versions to the hosting platform and the website in collaboration with the website developer.
- Implement new functionalities as they are available, make sense, or are requested. ","What tools are required?
- Access to the final model files
- Access to the deployment service and API keys used
- Access to the ALANA GitHub","1,453",0.25,2,10.00%,90.00%,147,147,,,
Virtual Space Platform Implementation & Deployment,ALANAboutique,"What does it take to implement and deploy a virtual space for ALANA?
(This task requires close collaboration with the Brand Identity & Social team and the website developers and will require some back and forth until everything works.)
- Import the final Blender files to a game engine such as Unreal Engine 5. Optimize even further if needed. Refrain from using too many plugins via UE 5 for reduced loading times.
- Conduct load time and frame rate tests and optimize for various connection speeds. 
- Design and implement UI for navigation and shopping to ensure a smooth user experience. 
- Set up hosting for 3D assets and web applications.
- Implement content delivery network (CDN) for faster loading.
- Hand over the final implementation keys to the web developers with all required instructions and with the Brand Identity& Social team's final approval.","What tools are required?
- Access to the final model files
- Access to the deployment service and API keys used
- Access to the ALANA GitHub","1,453",1,3,50.00%,85.00%,988,988,,,
"ALANAboutique Pitch Deck Creation
",ALANAboutique,"What does it take to design the Pitch Deck for ALANAboutique?
- Determine the pitch deck's goals, such as attracting contributors/ brands, informing media contacts, and promoting the project to the ALANA community and beyond.
- Compile key details about the boutique, including its mission, audience demographics, and unique selling points.
- Clearly describe the boutique's content types, distribution channels, and exhibition options. Offer developer packages to brands/ contributors who can't deliver the files as needed.
- Provide and compile statistics on visitors (if available), social media following, and engagement metrics to demonstrate the boutique's reach.
- Incorporate high-quality renderings and design elements that reflect the boutique's branding and aesthetic.
- To personalize the deck, Include brief bios and photos of key team members, such as editors and curators.
- Use a professional design tool or template to create an attractive and easy-to-navigate layout.
- Proofread the content for accuracy and clarity, ensuring all information is up-to-date and relevant.
- Share the pitch deck digitally (PDF or online link) with team members responsible for brand and contributor partnerships.","What tools are required?
- Photoshop or similar
- Figma, InDesign or similar
- PDF Creator
- AI enhancer/ AI creation Tools","1,453",0.25,2,50.00%,75.00%,490,,,,
ALANAboutique Contributor/ Brand Management,ALANAboutique,"What does it take to manage a contributor/ brand for ALANAboutique?
(While contributors often require more guidance than brands, brands usually create stronger demands. We recommend setting the values for Battery Life Bar accordingly.) 
- Actively seek out new voices to expand the diversity of perspectives and in accordance with the curation themes.
- Establish clear expectations for content quality, formatting, deadlines, etc.
- Have contributors/ brands sign an agreement outlining terms, rights, compensation, etc.
- Appoint a curator to work closely with each contributor/ brand so they are well taken care of and have an active voice supporting them.
- Provide a straightforward process for contributors/ brands to submit their products and files. Inqurie for clear product descriptions, stock, prices, production schedules, etc. If they require assistance, offer them a developer package (see ALANAboutique Pitch Deck).
- Deliver the files on Google Drive or similar in an organized manner to the integration team.
- Work with contributors/ brands to improve content quality through multiple rounds of feedback.
- Hold contributors/ brands accountable to agreed-upon deadlines to maintain the publication schedule.
- Check in with contributors/ brands frequently to address questions and provide support.","What tools are required?
- Google Sheets or similar
- Calendly
- Video Call Software","1,453",0.25,1.5,30.00%,65.00%,198,198,0,,
"Contributor/ Brand Integration in Virtual Spaces

* This example calculation assumes that files are delivered correctly and implementation is straightforward. If not, brands/ contributors will need to book a developer package.",ALANAboutique,"What does it take to integrate the works of contributors and brands into the virtual space of ALANAboutique?
- Inquire a brief and all files from the Contributor/ Brand Management team to create a complete understanding of what is expected.
- Investigate all received files and inquire about adaptions if necessary.
- Start integrating the assets into the Unreal Engine file and optimize them if needed. The ALANAboutique team can do minor optimizations, while bigger ones either require a booked developer package or an inquiry with the brand/ contributor so they can fix it.
- Render a few images (up to 3 shots) of the space for approval with the brand/ contributor. Provide the images to the Contributor/ Brand Management team.
- If approval is given (via email or in written form), hand over the updated file to the Implementation & Deployment team.","What tools are required?
- Blender or similar
- Unreal Engine 5
- Substance Designer/ Painter or similar
- Access to Milanote/ brief
- Email
- Access to Google Drive","1,453",0.25,1,80.00%,90.00%,523,523,0,,
"ALANAboutique Management, Sales & Distribution

* Example calculation based on the idea of a monthly repetitive task",ALANAboutique,"What does it take to manage and handle sales and distribution for ALANAboutique?
(We recommend adjusting the Battery Life Bar value according to the monthly frequency of orders and updates performed by the responsible person. We recommend to start with a value of 25%.)
- Maintain communication with contributors and brands. Be aware of prices, stock levels, and terms if they change and update them on the storefront.
- Monitor and process incoming orders, verify payment transactions, and handle order modifications or cancellations.
Fulfillment and Shipping
- Send emails to brands and contributors for incoming orders. If people order internal ALANA products, activate drop shipping.
- Coordinate shipping between brands/ contributors and clients. Coordinate with shipping carriers directly if necessary.
- Respond to customer inquiries and complaints, process returns and exchanges and provide order status updates.
- Ensure website functionality and performance. Embed security updates as needed and in collaboration with the website developers.
- Plan and execute marketing campaigns in collaboration with the Brand Identity & Socials team
- Update promotional content on the website directly as needed.
- Track sales and revenue every month and ensure payment gateways are always up to date.
- Monitor key performance indicators (KPIs) and analyze sales data and customer behavior.
- Generate quarterly sales and inventory reports for the DAO.","What tools are required?
- Access to BOSON Protocol page
- Access to WooCommerce
- Access to all Contributor/ Brand contacts
- Access to the ALANAboutique Multi-sig wallet
- Access to Google Sheets or similar","1,453",0.25,2.5,25.00%,84.00%,336,336,0,,
"Modeling a 3D Asset - Tier#1
(difficulty - easy)","ALANAworld, ALANAboutique","What does it take to model an ""easy"" 3D Asset for ALANA?
This is about asset modeling in 3D for either ALANA's Boutique or ALANA's World. It considers the degree of difficulty to be ""easy."" Easy relates to singular objects that do not necessarily require a retopology process.

Example here: A Vase
- Concept & References
- Basic Shape Creation
- Refining the Shape
- Adding Details
- Texturing
- potentially lighting and rendering","What tools are required?
- Blender, Cinema 4D, Zbrush, etc.
- Substance Designer/ Painter or Quixel","1,453",0.5,2,30.00%,50.00%,381,381,0,,
"Modeling a 3D Asset - Tier#2
(difficulty - challenging)","ALANAworld, ALANAboutique","What does it take to model a ""challenging"" 3D Asset for ALANA?
This is about asset modeling in 3D for either ALANA's Boutique or ALANA's World. It considers the degree of difficulty to be ""challenging."" Challenging relates to combined object structures that might require a retopology process or a non-destructive workflow.

Example here: A Sign with Different Elements or Layers
- Concept & References
- Basic Shape Creation
- Refining the Shape
- Combining Elements
- Adding Details
- Retopology or Topology baking
- Texturing
- potentially lighting and rendering""","What tools are required?
- Blender, Cinema 4D, Zbrush, etc.
- Substance Designer/ Painter or Quixel","1,453",0.5,2,50.00%,65.00%,826,826,0,,
"Modeling a 3D Asset - Tier#3
(difficulty - difficult)","ALANAworld, ALANAboutique","What does it take to model a ""difficult"" 3D Asset for ALANA?
This is about asset modeling in 3D for either ALANA's Boutique or ALANA's World. It considers the degree of difficulty to be ""difficult."" Difficult relates to combined objects that do require a retopology process and some additional tasks for texturing as well as rigging or baked in animations.

Example here: Character or Machine Building
- Concept & References
- Base Mesh Creation
- Refining the Base Mesh
- Combining Elements
- Adding Complex Details
- Retopology or Topology baking
- Texturing
- Rigging, weight painting
- Animations
- potentially lighting and rendering","What tools are required?
- Blender, Cinema 4D, Zbrush, etc.
- Substance Designer/ Painter or Quixel
- Cascadeur or other animation software","1,453",0.5,2,70.00%,85.00%,"1,513","1,513",0,,
Custom Texture Design,"ALANAboutique, ALANAworld","What does it take to create a custom texture for ALANA?
- Research & moodboard according to the topic
- Break the visuals down into nodes
- Assemble the node tree (experimentation is required)
- Export for different applications (modeling software/ game engine)
- Sofware translation testing and potential iteration","What tools are required?
- AI Tools
- Substace Designer, Painter, Sampler or similar","1,453",0.5,2,30.00%,50.00%,381,,,,
"Initial AI Assistant Planning & Development
",FABA Studio,"What does it take to plan and develop the initial structure of an AI Assistant?
- Define the AI assistant's purpose, target audience, and unique story
- Design the AI's personality, tone, and backstory
- Choose the appropriate technology stack and platforms
- Develop the core natural language processing (NLP) capabilities
- Create initial knowledge base and response templates
- Design and implement the user interface
- Define the initial Minimum Viable Product (MVP)","What tools are required?
- Access to the AI Model/ GitHub",,,,,,,,0,,
Financial Infrastructure for FABA,FABA Studio,"- Set up payment systems for FABA sales, including crypto wallets, or other payment systems
- Set up automated accounting for attributing revenue streams to creators, owners, ALANA
- Manage of refunds, sales, and promotional discounts
- Set up smart contracts for financial transactions",Use properly vetted protocols for payment,,,,,,,,,,
"Security, Privacy and Identity Management",FABA Studio,"- Set up authentication system for identity, wallet signup
- Take measure to ensure system is secure - respond to security patches, arrange security audits and certifications
- Take legal precautions, including liability insurance or legal contractual language
- Proactively fix any security leaks and perhaps red team testing",Use proper protocols and best practices,,,,,,,,,,
Train & Refine an AI Assistant Core Model,FABA Studio,"What does it take to train and refine an AI Assistant Core Model?
(The workflow here can vary vastly. Therefore, the list below contains possible actions rather than a complete workflow.)
- Collect and prepare relevant training data.
- Train the AI model on community-specific content and interactions.
- Implement and refine conversation flows.
- Develop custom features aligned with the assistant's story.","What tools are required?
- Access to the AI Model/ GitHub
- Access to the training data sheet
",,,,,,,,0,,
Integration & Deployment of an AI Assistant,FABA Studio,"What does it take to integrate and deploy an AI Assistant to different community platforms?
(The workflow here can vary. The list below covers a concise example.)
- Investigate the specific platform and its criteria for implementation.
- Integrate the AI assistant with an existing community platform/ website according to its guidelines.
- Set up monitoring and analytics tools.
- Conduct thorough testing and quality assurance.
- Launch the AI assistant to the community.","What tools are required?
- Access to the AI Model/ GitHub
- Access to community platforms/ API keys",,,,,,,,0,,
Fixing bugs in AI Assistant,FABA Studio,"What does it take to fix bugs in the AI Assistant?
- fix defects in any reported issues in Alana AI
- fix regressions (previously working systems exhibiting issues due to changes)
- apply security patches and fixes as they occur
- write tests to confirm and prove bugs have been fixed. add to unit tests for continous monitoring to prevent regressions","What tools are required?
- Access to the AI Model/ GitHub
- Access to an easy to use data base",,,,,,,,0,,
Performance improvements to AI Assistant,FABA Studio,"What does it take to improve performance in an AI Assistant?
- Improve user experience by reducing latency between initiating an action and seeing a response.
- Faster streaming of LLM responses
- Faster search and database retrieval
- Algorithmic changes/refactors that improve system performance and robustness
- Any software change that improves performance according to metrics that can be observed.
- Demonstrate improvements using objective metrics - eg., time to complete task, latency, success rates for task completion",,,,,,,,,,,
Market and recruting for contributions to AI Assistant,FABA Studio,"What does it take to market and recruit contributions to the AI Assistant?
- find creatives that would be willing to contribute materials and knowledge to the Alana AI
- explain and educate potential contributors of benefits, protections and compensation for their contributions
- develop and execute on recruitment strategies for targetted contributors including outreach in community forums, meetups
- define metric for measuring success of initiatives - eg., new user signups, sales made, etc.",,,,,,,,,,,
Adding and maintaining content and knowledge accessible to the AI Assistant,FABA Studio,"What does it take to add/maintain content in an AI Assistant?
- Onboard and review candidate content from contributors for errors, copyright violations, and other policy violations
- Screen and check for security exploits and malicious code/content
- Work with contributors to provide feedback if content not acceptable
- Modify/edit content to ensure works within our Alana AI system
- Automate tests so they can be constantly re-run with every change in the system",,,,,,,,,,,
Maintain good quality assurance in Alana AI,FABA Studio,"What does it take to maintain good quality assurance in Alana AI?
- Periodically test system on a good representative range of tasks to see if system response if of sufficent good quality
- Detect regressions in behavior where system behavior has worsened and file bug issues to fix
- Design, write and create test plans or evals to help the automate and measure the systems key quality performance indices
- Monitor user transactions to detect anomalous or good working patterns to suggest new features or fixes",,,,,,,,,,,
"Adding Novel Features to the FABA AI Agentic system 

* Example calculation based on the Comfy UI integration",FABA Studio,"What does it take to add novel features to the AI Assistant?
- Draft and write a PRD (Product Requirements Document) for a high level proposal describing a new feature, justifying the need for it with supporting arguments, including current pain points and how it would enhance the user experience.
- Design features include front-end user experience and back-end components
- Clarify acceptance criteria for successfully implemented feature
- Create plan for implementation, including task breakdown and time/resource estimates",,,,,,,,,0,,
Add Novel Character Development to an AI Assistant,FABA Studio,"What does it take to add novel character development to AI Assistant
- Ensure ALANA AI always follows the Alana Manifesto guidelines
- Design curriculum for training Alana with new emerging content
- Ensure Alana AI's personality does not have malicious or undesirable properties inconsistent with the Manifesto
- Maintain Alana's core personality and ensure it does not evolve or exhibit undesirable properties",,,,,,,,,0,,
